id, name,act,debut_date,disband_date,sales_circle, views, circle_streaming_score, billboard global, music_show_awards, yearly_awards, paks
8376,Seungyeol,solo,,2012,0,0,0,0,0,0,0
8377,Alex,solo,,2012,0,0,0,0,0,0,0
8378,Yoojun,solo,,2012,0,0,0,0,0,0,0
8379,Taesaja,group,1997-11-26,2001,0,1017010,0,0,0,0,0
8380,Hyungjun,solo,,2001,0,0,0,0,0,0,0
8381,Dongyoon,solo,,2001,0,0,0,0,0,0,0
8382,Junseok,solo,,2001,0,0,0,0,0,0,0
8383,Youngmin,solo,,2001,0,0,0,0,0,0,0
8384,FameUs,group,2014-09-04,2016,0,50438,0,0,0,0,0
8385,Hanyoung,solo,,2016,0,0,0,0,0,0,0
8386,Daeyoung,solo,,,0,0,0,0,0,0,0
8387,Kudo,solo,,2016,0,0,0,0,0,0,0
8388,AQA,group,2022-04-16,2024,0,33747,0,0,0,0,0
8389,Bonggeun,solo,,,0,0,0,0,0,0,0
8390,Taeyoung,solo,,,0,0,0,0,0,0,0
8391,Pawky,solo,,2024,0,0,0,0,0,0,0
8392,Yuseong,solo,,,0,0,0,0,0,0,0
8393,Hwan,solo,,2024,0,0,0,0,0,0,0
8394,T.EV,group,2024-12-05,,0,7940,0,0,0,0,0
8395,Halim Yi,solo,2020-09-25,,0,7413,0,0,0,0,0
8396,Itzel,solo,2022-08-02,,0,126703,0,0,0,0,0
8397,YG Family,group,,,13664,3442124,0,0,0,0,0
8398,Park Jihyun,solo,2022-12-12,,249067,1114556,0,0,0,0,0
8399,Yoo Jaesuk + Kim Johan + Haha + KCM + Joo Woojae + John Park + Park Jinjoo + Lee Yi Kyung + Ailee + Mijoo + Oh Sanguk + Song Geon Hee + seungheonsseu + Haewon,group,,,0,6212595,0,0,0,0,0
8400,M.Pire,group,2013-08-01,2015,2875,895527,0,0,0,0,0
8401,Taehee,solo,,2015,0,0,0,0,0,0,0
8402,Useung,solo,,2015,0,0,0,0,0,0,0
8403,Haru,solo,,2015,0,0,0,0,0,0,0
8404,Red,solo,,2015,0,0,0,0,0,0,0
8405,T.O,solo,,2015,0,0,0,0,0,0,0
8406,Jerry,solo,,2015,0,0,0,0,0,0,0
8407,LeeU,solo,,,0,0,0,0,0,0,0
8408,To-Ya,group,2001-07-05,2003,0,119697,0,0,0,0,0
8409,Kim Jihye,solo,,2003,0,0,0,0,0,0,0
8410,Ryu Eunju,solo,,2003,0,0,0,0,0,0,0
8411,Kim Hyunji,solo,,1999,0,0,0,0,0,0,0
8412,T.T.MA,group,1999-05-01,2002,0,161509,0,0,0,0,0
8413,Soy,solo,,2002,0,0,0,0,0,0,0
8414,Queena,solo,,2000,0,0,0,0,0,0,0
8415,Juhae,solo,,2000,0,0,0,0,0,0,0
8416,Semi,solo,,2002,0,0,0,0,0,0,0
8417,Yeonwoo,solo,,2002,0,0,0,0,0,0,0
8418,Zin,solo,,2002,0,0,0,0,0,0,0
8419,Euni,solo,,2002,0,0,0,0,0,0,0
8420,SUS4,group,2015-03-18,2016-11,0,653929,0,0,0,0,0
8421,Sanha,solo,,2016,0,0,0,0,0,0,0
8422,EZE,solo,,2016,0,0,0,0,0,0,0
8423,Ain,solo,,2016,0,0,0,0,0,0,0
8424,Seo Sarang,solo,,2015,0,0,0,0,0,0,0
8425,Jimin,solo,,2015,0,0,0,0,0,0,0
8426,UDTT,group,,,0,1199466,0,0,0,0,0
8427,Risako,solo,,,0,0,0,0,0,0,0
8428,Han Chaehee,solo,,,0,0,0,0,0,0,0
8429,Koo Hanna,solo,,,0,0,0,0,0,0,0
8430,Kwon Yejin,solo,,,0,0,0,0,0,0,0
8431,Jung Sena,solo,,2025,0,0,0,0,0,0,0
8432,ToTh6y,group,2024-11-05,,0,15541,0,0,0,0,0
8433,TRY 1.00,group,,,0,23495,0,0,0,0,0
8434,Sunho,solo,,,0,0,0,0,0,0,0
8435,Neo,solo,,,0,0,0,0,0,0,0
8436,Min,solo,,,0,0,0,0,0,0,0
8437,Jihwan,solo,,,0,0,0,0,0,0,0
8438,R1KE,solo,,,0,0,0,0,0,0,0
8439,Hyukgi,solo,,,0,0,0,0,0,0,0
8440,Tsukito,solo,,,0,0,0,0,0,0,0
8441,Lim Seulong + Yoon Hyunsang,group,,,0,97607,0,0,0,0,0
8442,Lim Seulong + Kei,group,,,0,437620,0,0,0,0,0
8443,I:MOND,group,2024-06-04,,0,317264,0,0,0,0,0
8444,Miku,solo,,,0,0,0,0,0,0,0
8445,Ahyeon,solo,,,0,0,0,0,0,0,0
8446,Youngwon,solo,,,0,0,0,0,0,0,0
8447,O.K,group,2020-09-30,,0,279969,0,0,0,0,0
8448,Kim Chulmin,solo,,,0,0,0,0,0,0,0
8449,BOOKKU DDOONG,solo,2021-08-22,,0,4045934,0,0,0,0,0
8450,ZE:A 4U,group,2013-06-17,2017,0,0,0,0,0,0,0
8451,RGP,group,2012-07-30,,0,27057173,0,0,0,0,0
8452,Skull,solo,,,1020,0,0,0,0,0,0
8453,ZE:A J,group,2015-01-21,2017,0,1199712,0,0,0,0,0
8454,ZE:A FIVE,group,2013-03-25,2017,6730,5766588,0,0,0,0,0
8455,Apink + Beast,group,2011-12-26,2013,0,0,0,0,0,0,0
8456,Apink + B.A.P,group,2013-12-02,2013,0,0,0,0,0,0,0
8458,Untitle,group,1996-09-01,1999,0,89262,0,0,0,0,0
8459,Seo Jeonghwan,solo,,1999,0,0,0,0,0,0,0
8460,Yoo Gunhyung,solo,,1999,0,0,0,0,0,0,0
8461,Space A,group,1998-04-15,,0,5054372,0,0,0,0,0
8462,Kim Hyunjung,solo,,,0,0,0,0,0,0,0
8463,Lee Gu,solo,,1998,0,0,0,0,0,0,0
8464,Kang Jiyeon,solo,,1998,0,0,0,0,0,0,0
8465,Jason,solo,,,0,0,0,0,0,0,0
8466,Lulu,solo,,2002,0,0,0,0,0,0,0
8467,J9,solo,,,0,0,0,0,0,0,0
8468,Ahn Yujin,solo,,2003,0,0,0,0,0,0,0
8469,Han Yeongjun,solo,,,0,0,0,0,0,0,0
8470,Lee Seeu,solo,,2013,0,0,0,0,0,0,0
8471,Do Harin,solo,,2013,0,0,0,0,0,0,0
8472,Roh Insoo,solo,,1998,0,0,0,0,0,0,0
8473,Goofy,group,1996-11-11,,0,7211322,0,0,0,0,0
8474,Shin Dongwook,solo,,,0,0,0,0,0,0,0
8475,Park Sungho,solo,,,0,0,0,0,0,0,0
8476,Lee Seungkwang,solo,,,0,0,0,0,0,0,0
8477,Park Jingyeom,solo,,2000,0,0,0,0,0,0,0
8478,J ME,solo,,2009,0,0,0,0,0,0,0
8479,Dramatic BLUE,group,,,0,0,0,0,0,0,0
8480,Dynamic BLACK,group,,,0,0,0,0,0,0,0
8481,Mystic WHITE,group,,,0,0,0,0,0,0,0
8482,BLAST,group,2014-06-19,2015,0,46567,0,0,0,0,0
8483,Jiwoo,solo,,2015,0,0,0,0,0,0,0
8484,Dal,solo,,2015,0,0,0,0,0,0,0
8485,Haro,solo,,2015,0,0,0,0,0,0,0
8486,J,solo,,2015,0,0,0,0,0,0,0
8487,Kyuhyuk,solo,,2015,0,0,0,0,0,0,0
8488,Daehee,solo,,2014,0,0,0,0,0,0,0
8489,Hankang,solo,,2014,0,0,0,0,0,0,0
8490,Chanwoo,solo,,2014,0,0,0,0,0,0,0
8491,Haejong,solo,,2014,0,0,0,0,0,0,0
8492,Jiwon,solo,,2015,0,0,0,0,0,0,0
8493,BLK,group,2017-11-28,2018-09,0,748016,0,0,0,0,0
8494,I,solo,,2018,0,0,0,0,0,0,0
8495,Yao Mingming,solo,,2018,0,0,0,0,0,0,0
8496,Inno,solo,,2018,0,0,0,0,0,0,0
8497,Taebin,solo,,2018,0,0,0,0,0,0,0
8498,Sorim,solo,,2018,0,0,0,0,0,0,0
8499,Ilkyung,solo,,2018,0,0,0,0,0,0,0
8500,HANHAE + Moon Se Yoon,group,,,0,33397,0,0,0,0,0
8501,Jeon Yu Jin,solo,2023-04-19,,5310,2991952,0,0,0,0,0
8502,KiiiKiii,group,2025-03-24,,214812,48210349,1713,0,2,3,0
8503,LeeSol,solo,,,0,0,0,0,0,0,0
8504,Sui,solo,,,0,0,0,0,0,0,0
8505,Jiyu,solo,,,0,0,0,0,0,0,0
8506,Haum,solo,,,0,0,0,0,0,0,0
8507,Kya,solo,,,0,0,0,0,0,0,0
8508,Asian Glow,solo,2020-09-13,,0,18422,0,0,0,0,0
8509,Kandis,group,2025-01-14,,0,183584,0,0,0,0,0
8511,ZOZAZZ,solo,2025-01-07,,0,2830608,4776,0,0,0,0
8512,Hearts2Hearts,group,2025-02-24,,867892,193857957,4236,0,2,6,0
8513,NEWBEAT,group,2025-03-24,,54376,7182486,0,0,0,0,0
8514,NouerA,group,2025-02-26,,374316,15087302,0,0,0,0,0
8515,GroovyRoom + GEMINI,group,,,0,0,0,0,0,0,0
8516,Max + Key,group,,,0,0,0,0,0,0,0
8517,HUSH,group,1999-12-01,2000,0,21291,0,0,0,0,0
8518,Kim Iljin,solo,,2000,0,0,0,0,0,0,0
8519,Jo Hyunjoo,solo,,2000,0,0,0,0,0,0,0
8520,Parannoul,solo,2020-01-17,,0,67412,0,0,0,0,0
8521,Parannoul + Asian Glow,group,,,0,0,0,0,0,0,0
8522,dress + BIG Naughty,group,,,0,0,0,0,0,0,0
8523,Jiwoo,solo,,,0,0,0,0,0,0,0
8524,Carmen,solo,,,0,0,0,0,0,0,0
8525,Yuha,solo,,,0,0,0,0,0,0,0
8526,Stella,solo,,,0,0,0,0,0,0,0
8527,Juun,solo,,,0,0,0,0,0,0,0
8528,A-na,solo,,,0,0,0,0,0,0,0
8529,Ian,solo,,,0,0,0,0,0,0,0
8530,Yeon,solo,,,0,0,0,0,0,0,0
8531,Ban Seolhee,solo,2020-01-24,,0,0,0,0,0,0,0
8533,HOSHI X WOOZI,group,2025-03-10,,458998,24302204,84,0,0,0,0
8534,A.DE,group,2016-06-23,2017,514,765397,0,0,0,0,0
8535,Suyeon,solo,,2018,0,0,0,0,0,0,0
8536,Yeorin,solo,,2017,0,0,0,0,0,0,0
8537,Jiseo,solo,,2017,0,0,0,0,0,0,0
8538,Rachel,solo,,2017,0,0,0,0,0,0,0
8539,wYte,solo,2016-06-23,,0,442684,0,0,0,0,0
8540,Miso,solo,,2017,0,0,0,0,0,0,0
8541,Choyoon,solo,,2017,0,0,0,0,0,0,0
8542,Hello,solo,,,0,0,0,0,0,0,0
8543,Venny,solo,,,0,0,0,0,0,0,0
8544,Nine,solo,,,0,0,0,0,0,0,0
8545,Looky,solo,,,0,0,0,0,0,0,0
8546,Chae Jung An,solo,1999-08-19,,0,1290183,0,0,0,0,0
8548,ZPZG,group,2014-09-25,2022-06,0,771101,0,0,0,0,0
8549,Khan,solo,,2016,0,0,0,0,0,0,0
8550,N.K,solo,,2016,0,0,0,0,0,0,0
8551,Gyeom,solo,,2016,0,0,0,0,0,0,0
8552,Jihoon,solo,,2021,0,0,0,0,0,0,0
8553,Hyo,solo,,2022,0,0,0,0,0,0,0
8554,Hwi,solo,,2022,0,0,0,0,0,0,0
8555,Taehwang,solo,,2022,0,0,0,0,0,0,0
8556,4K,group,2012-06-12,2019,0,1036,0,0,0,0,0
8557,Kang Butter,solo,2019-04-09,,0,0,0,0,0,0,0
8558,90 project,group,2025-01-08,,0,13644,0,0,0,0,0
8559,Swi.T,group,2002-04-01,2004,0,381123,0,0,0,0,0
8560,Lee Eunjoo,solo,,2004,0,0,0,0,0,0,0
8561,Ahn Nai Young,solo,,2004,0,0,0,0,0,0,0
