group_name       , debutdate  , company        , members, original_members, fanclub_name, active
tripleS          , 2023-02-13 , MODHAUS        ,      20,               24,             , Yes
TWICE            , 2015-10-20 , JYP            ,       9,                9, Once        , Yes
Two X            , 2012-08-20 , J. Tune        ,       4,                5,             , No
Uni.T            , 2018-05-18 , Unit Culture   ,       8,                9,             , No
Unicorn          , 2015-09-03 , Cartoon Blue   ,       4,                5,             , No
VIVIZ            , 2022-02-09 , Big Planet Made,       3,                3,             , Yes
Wable            , 2016-02-17 , Kiwi           ,       2,                2,             , Yes
Wanna.B          , 2014-11-17 , Zenith         ,       5,                4, Ru.B        , No
Wassup           , 2013-08-07 , Mafia          ,       7,                7,             , No
We Girls         , 2018-08-31 , Afternoon      ,       8,                8,             , Yes
We;Na            , 2022-09-05 , Shine E&M      ,       4,                4, mymean      , Yes
Weeekly          , 2020-07-30 , Play M         ,       6,                7,             , Yes
Weki Meki        , 2017-08-08 , Fantagio       ,       8,                8,             , Yes
WJSN             , 2016-02-25 , Starship       ,      10,               12, Ujung       , Yes
Wonder Girls     , 2007-02-13 , JYP            ,       4,                5, Wonderful   , No
woo!ah!          , 2020-05-15 , NV             ,       5,                6,             , Yes
X:IN             , 2023-04-11 , Escrow         ,       5,                5,             , Yes
XUM              , 2020-09-22 , A100           ,       3,                3, AWEXUM      , No
Yellow Bee       , 2017-11-23 , Addiction      ,       5,                5,             , No
YOUNG POSSE      , 2023-10-18 , DSP            ,       5,                5,             , Yes
