group_name     , debutdate , company                 , members, original_members, fanclub_name   , active
SECHSKIES      , 1997-04-15, "DSP, YG"               ,       5,                6, Yellowkies     , Yes
Seven O'Clock  , 2017-03-16, "Staro, KDH"            ,       5,                6,                , No
Seventeen      , 2015-05-26, Pledis                  ,      13,               13, Carat          , Yes
SF9            , 2016-10-05, FNC                     ,       9,                9, Fantasy        , Yes
SG Wannabe     , 2004-01-20, B2M                     ,       3,                4,                , Yes
SHINee         , 2008-05-25, SM                      ,       4,                5, Shawol         , Yes
Shinhwa        , 1998-03-24, "SM, Good, Shinhwa"     ,       6,                6, Shinhwa Changjo, Yes
SIGMA          , 2021-01-26, Pluswin                 ,       4,                4,                , Yes
Signal         , 2019-08-28, J-Star                  ,       4,                4,                , Yes
SKYE           , 2017-10-26, MMO                     ,       6,                8,                , Yes
Snuper         , 2015-11-16, Widmay                  ,       6,                6, Swing          , No
Spectrum       , 2018-05-09, WYNN                    ,       6,                7,                , No
Speed          , 2013-01-15, MBK                     ,       7,                7,                , No
SS501          , 2005-06-08, "DSP, CI"               ,       5,                5, Triple S       , No
Stray Kids     , 2018-03-25, JYP                     ,       8,                9, STAY           , Yes
Super Junior   , 2005-11-06, SM                      ,      11,               12, ELF            , Yes
SUPERKIND      , 2022-06-20, Deep Studio             ,       7,                7, Players        , Yes
SuperM         , 2019-10-04, SM                      ,       7,                7,                , Yes
Supernova      , 2007-09-21, CJ E&M                  ,       5,                6,                , Yes
Target         , 2018-01-23, TNS                     ,       7,                7,                , Yes
Teen Top       , 2010-07-09, TOP Media               ,       5,                6, Angel          , Yes
TEMPEST        , 2022-03-02, Yuehua                  ,       7,                7, iE             , Yes
TFN            , 2021-01-11, MLD                     ,       9,                9,                , Yes
The Boyz       , 2017-12-31, Cre.Ker                 ,      11,               12,                , Yes
The Eastlight  , 2016-11-03, MediaLine               ,       6,                6,                , No
The Legend     , 2014-07-09, SS                      ,       5,                5,                , No
THE MAN BLK    , 2018-11-15, Stardium                ,      10,               10,                , Yes
The Wind       , 2023-05-15, With US                 ,       6,                7,                , Yes
TNX            , 2022-05-17, P NATION                ,       6,                6, THX            , Yes
TOO            , 2020-04-01, n.CH                    ,      10,               10,                , Yes
ToppDogg       , 2013-10-22, "Stardom, Hunus"        ,       5,               13, ToppKlass      , No
TRAX           , 2004-07-20, SM                      ,       2,                4,                , No
TRCNG          , 2017-10-10, TS                      ,      10,               10,                , No
Treasure       , 2020-08-07, YG                      ,      12,               12,                , Yes
TREI           , 2019-02-19, Banana                  ,       3,                3,                , No
TRENDZ         , 2022-01-05, Interpark               ,       7,                7,                , Yes
TST            , 2017-01-04, JSL                     ,       5,                7,                , Yes
Turbo          , 1995-09-06, "MBK, Turbo Co."        ,       3,                2,                , Hiatus
TVXQ!          , 2003-12-26, SM                      ,       2,                5, Cassiopeia     , Yes
TWS            , 2024-01-22, Pledis                  ,       6,                6,                , Yes
TXT            , 2019-03-04, Big Hit                 ,       5,                5,                , Yes
U-KISS         , 2008-08-28, NH Media                ,       6,                6, Kissme         , Yes
UNB            , 2018-04-07, Unit Culture            ,       9,                9,                , No
UNIQ           , 2014-10-20, Yuehua                  ,       5,                5, Unicorn        , Hiatus
UNVS           , 2020-02-23, CHITWN                  ,       5,                5,                , Yes
UP10TION       , 2015-09-10, TOP Media               ,      10,               10, HONEY10        , Yes
VANNER         , 2019-02-14, VT                      ,       5,                5,                , Yes
Varsity        , 2017-01-05, GKC                     ,      12,               12,                , Yes
VAV            , 2015-10-31, A team                  ,       7,                6,                , Yes
Verivery       , 2019-09-01, Jellyfish               ,       7,                7,                , Yes
VERMUDA        , 2017-07-13, JJJ                     ,       5,                5,                , Yes
VICTON         , 2016-11-09, Plan A                  ,       6,                7, Alice          , Yes
VIXX           , 2012-05-24, Jellyfish               ,       4,                6, Starlight      , Yes
VOISPER        , 2016-02-23, Evermore                ,       4,                4,                , Yes
VROMANCE       , 2016-06-12, RBW                     ,       4,                4,                , Yes
Wanna One      , 2017-08-07, YMC                     ,      11,               11, Wannable       , No
We In The Zone , 2019-05-27, Choon                   ,       5,                5,                , No
WE:A           , 2023-03-29, Madewell                ,       4,                4,                , Yes
Wei            , 2020-10-05, OUI                     ,       6,                6,                , Yes
WEUS           , 2023-04-03, WEUS                    ,       7,                8,                , Yes
WINNER         , 2014-08-12, YG                      ,       4,                5, Ace            , Yes
WOW            , 2021-03-08, A.CONIC                 ,       7,                7,                , Yes
Xdinary Heroes , 2021-12-06, JYP                     ,       6,                6,                , Yes
XEED           , 2022-12-01, Nature Space            ,       3,                4, GREENY         , Yes
XENEX          , 2020-02-26, GiEok                   ,       5,                5,                , Yes
xikers         , 2023-03-30, KQ                      ,      10,               10,                , Yes
XODIAC         , 2023-03-25, One Cool Jacso          ,       9,                9,                , Yes
YOUNITE        , 2022-04-20, Brand New               ,       9,                9, YOUNIZ         , Yes
ZE:A           , 2010-01-07, Star Empire             ,       9,                9, ZE:A Style     , Hiatus
ZEROBASEONE    , 2023-07-10, WakeOne                 ,       9,                9,                , Yes
